Number,Name,Address,Latitude,Longitude
8132,8132-PROMENADE POMPIDOU AMIRAL MUSELIER,PROMENADE POMPIDOU AMIRAL MUSELIER - PROMENADE GEORGES POMPIDOU DEVANT LA PLACE AMIRAL MUSELIER,43.26469407213291,5.373281108125947
8145,8145-ESCALE BORELY,ESCALE BORELY - ANGLE ESCALE BORELY ET AVENUE BONNEVEINE,43.25505597847173,5.376413023650641
9219,9219-PUGETTE - ANDRE,PUGETTE ANDRE - ANGLE AVENUE DU GENERAL ANDRE FACE AU 23 BOULEVARD DE LA PUGETTE,43.268405140653144,5.400635371105712
8134,8134-ROND POINT DU PRADO,ROND POINT DU PRADO - 300 AVENUE DU PRADO,43.27278734452526,5.391048744484495
2341,2341- JOLIETTE FORBIN,JOLIETTE FORBIN - PLACE DE LA JOLIETTE ANGLE RUE DE FORBIN,43.3047137105911,5.36771555892562
7027,7027-PLACE DU 4 SEPTEMBRE,2 RUE CAPITAINE DESSEMOND,43.2884327278463,5.3586207351308
8131,8131-PROMENADE POMPIDOU DAVID,PROMENADE POMPIDOU DAVID -  PROMENADE GEORGES POMPIDOU AU NIVEAU DU ROND POINT DE DAVID,43.26178202177259,5.374505152575336
6160,6160-153 PARADIS,153 PARADIS - 153 RUE PARADIS,43.28683835122117,5.379450180172236
4111,4111-FOCH FAYOLLE,FOCH FAYOLLE - ANGLE AVENUE MARECHAL FOCH ET RUE MARECHAL FAYOLLE,43.301185515493664,5.398630311705657
6208,6208-ROUET,ROUET - 48 RUE DU ROUET,43.28350144850817,5.386461522334788
1001,1001 - CANEBIERE REINE ELISABETH,CANEBIERE REINE ELISABETH - CANEBIERE ANGLE REINE ELISABETH,43.295686109850145,5.375339514183368
2323,2323 -FORBIN PARIS,FORBIN PARIS - RUE DE FORBIN ANGLE BOULEVARD DE PARIS,43.30598895681527,5.37224035119238
2031,2031 - SCHUMANN LECA,32 Avenue Robert Schuman,43.301965,5.366478
9260,9260- MAZARGUES - ALMERAS,MAZARGUES ALMERAS - ANGLE AVENUE DE MAZARGUES ET IMPASSE ALMERAS,43.25096285100345,5.39517783172075
8144,8144-ESCALE BORELY POINTE ROUGE,ESCALE BORELY POINTE ROUGE - ESCALE BORELY EN DIRECTION DE L'AVENUE POINTE ROUGE,43.25394372546869,5.37599738915791
8067,8067-PRADO GABES,PRADO GABES - AVENUE DU PRADO ANGLE BD DE GABES,43.2668438148239,5.38279581908046
7062,7062-88 CORNICHE - KENNEDY,88 CORNICHE KENNEDY - 88 CORNICHE J.F. KENNEDY,43.284213979400505,5.349696475467313
1210,1210-BEAUVAU - CANEBIERE,BEAUVAU CANEBIERE - RUE BEAUVAU,43.2954212560858,5.37516544677113
2327,2327- RÉPUBLIQUE PLUMIER,REPUBLIQUE PLUMIER - RUE DE LA REPUBLIQUE ANGLE RUE PLUMIER,43.304190155898155,5.367786407891749
1004,1004-GENERAL DE GAULLE PARADIS,GENERAL DE GAULLE PARADIS - PLACE GENERAL DE GAULLE FACE AU 11 RUE PARADIS,43.29494730625887,5.37602674729877
6020,6020-PLACE DE LA CORDERIE,PLACE CORDERIE - AU CENTRE DE LA PLACE CORDERIE,43.29076433240633,5.372259932395231
5280,5280-CHAVE CAMAS,CHAVE CAMAS - BOULEVARD CHAVE ANGLE RUE DU CAMAS,43.29581102315005,5.396312199117862
7064,7064-CORNICHE  LE PROPHETE,CORNICHE LE PROPHETE - 327 CORNICHE J.F KENNEDY FACE A LA PLAGE DU PROPHETE EN DIRECTION DU VIEUX PORT,43.27370831724611,5.362608275091751
8270,8270 - RABATAU ST JOSEPH,43 boulevard Rabatau,43.274742,5.394318
8290,8290- POINTE ROUGE - MONTREDON,POINTE ROUGE MONTREDON - ANGLE AVENUE ODESSA ET AVENUE MONTREDON,43.243802055963265,5.370540756635374
8262,8262-MAZARGUES-BARRAL,MAZARGUES BARRAL - ANGLE AVENUE DE MAZARGUES ET BOULEVARD BARRAL,43.263999455764186,5.392402358314715
1005,1005-CENTRE BOURSE,CENTRE BOURSE - RUE BIR HAKEIM ENTREE CENTRE BOURSE,43.297138004748,5.377103061958931
1316,1316 -ST CHARLES FACULTÉ,SAINT CHARLES FACULTE - BOULEVARD GUSTAVE DESPLACES ANGLE AVENUE DU GENERAL LECLERC,43.304244359587024,5.378292250179226
7025,7025-LIVON PASTEUR,LIVON PASTEUR - BOULEVARD CHARLES LIVON ANGLE ESPLANADE DU PHARO,43.29198908246378,5.357823161216201
2221,2221-91 LIBÉRATION,91 LIBERATION - 91 BOULEVARD DE LA LIBERATION,43.30050650960441,5.389298285180646
7146,7146-LIVON VIEUX PORT,LIVON VIEUX PORT - 36 BOULEVARD CHARLES LIVON,43.29224532184672,5.360224853219125
8065,8065-PROMENADE POMPIDOU PALM BEACH,PROMENADE POMPIDOU PALM BEACH - 6 PROMENADE GEORGES POMPIDOU,43.267272515671856,5.372088524255505
5060,5060-SAKAKINI CHAVE,SAKAKINI CHAVE - 236 BOULEVARD CHAVE EN DIRECTION DE SAKAKINI,43.29570956843267,5.399877070301781
5024,5024-BAILLE PAURIOL,BAILLE PAURIOL - 114 BOULEVARD BAILLE ANGLE RUE PAURIOL,43.287814455889425,5.391331392803749
8255,8255-PRADO - PARADIS,PRADO PARADIS - 390 AVENUE DU PRADO,43.26954179693142,5.386273779435491
4057,4057-PLACE SEBASTOPOL,PLACE SEBASTOPOL - 20 PLACE SEBASTOPOL,43.298680879912176,5.397216233775408
8093,8093-HAMBOURG ROND POINT GUERRE,HAMBOURG RONT POINT GUERRE - BOULEVARD DE HAMBOURG ANGLE ROND POINT PIERRE GUERRE,43.249867874570256,5.389411648303773
1006,1006-COURS JEAN BALLARD,COURS JEAN BALLARD - 5 COURS JEAN BALLARD,43.29336790915692,5.374638177288532
7138,7138-CORNICHE  ENDOUME,CORNICHE ENDOUME - 126 CORNICHE J.F. KENNEDY,43.28250633472905,5.350628425025786
