FID,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1599,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.67,ug.m-3,mensuelle,2019/12/01 00:00,2019/12/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1598,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,2.26,ug.m-3,mensuelle,2020/01/01 00:00,2020/01/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1597,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.43,ug.m-3,mensuelle,2020/02/01 00:00,2020/02/29 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1596,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.39,ug.m-3,mensuelle,2020/03/01 00:00,2020/03/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1595,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,2.22,ug.m-3,mensuelle,2020/04/01 00:00,2020/04/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1594,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,0.99,ug.m-3,mensuelle,2020/05/01 00:00,2020/05/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1593,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,-0.4,ug.m-3,mensuelle,2018/07/01 00:00,2018/07/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1592,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,1.7,ug.m-3,mensuelle,2018/08/01 00:00,2018/08/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1591,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,3.1,ug.m-3,mensuelle,2018/09/01 00:00,2018/09/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1590,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,1.5,ug.m-3,mensuelle,2018/10/01 00:00,2018/10/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-158f,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,1.2,ug.m-3,mensuelle,2018/11/01 00:00,2018/11/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-158e,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,0.9,ug.m-3,mensuelle,2018/12/01 00:00,2018/12/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-158d,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,0.3,ug.m-3,mensuelle,2019/01/01 00:00,2019/01/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-158c,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,1.8,ug.m-3,mensuelle,2019/02/01 00:00,2019/02/28 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-158b,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,0.6,ug.m-3,mensuelle,2019/03/01 00:00,2019/03/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-158a,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,0.4,ug.m-3,mensuelle,2019/04/01 00:00,2019/04/30 23:59,true,875751.23889722,6267655.43799859
